1,Bamboo Airway,Tp.HCM (SGN),07:25:00,2021-01-04,Đà Nẵng (DAD),05:15:00,DAD-SGN,QH 123,"",1990000
2,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-05,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 246,"",899000
3,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-05,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 111,"",529000
4,Vietnam Airlines,Hà Nội (HAN),07:25:00,2021-01-10,Đà Nẵng (DAD),05:15:00,DAD-HAN,VN 201,"",2599000
5,Vietnam Airlines,Phú Quốc (PQC),10:25:00,2021-01-06,Hà Nội (HAN),08:15:00,HAN-PQC,VN 222,"",2039000
6,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-07,Hải Phòng (HPH),05:15:00,HPH-SGN,VJ 176,"",2790000
7,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-08,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 113,"",1689000
8,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-09,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 777,"",99000
9,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-10,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 178,"",299000
10,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-04,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 456,"",399000
11,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-06,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 369,"",99000
12,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-07,Hải Phòng (HPH),05:15:00,HPH-SGN,VJ 357,"",2990000
13,VietJet Air,Tp.HCM (SGN),11:25:00,2021-01-08,Hải Phòng (HPH),09:15:00,HPH-SGN,VJ 246,"",5990000
14,Bamboo Airway,Tp.HCM (SGN),07:25:00,2021-01-09,Đà Nẵng (DAD),05:15:00,DAD-SGN,QH 123,"",1990000
15,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-10,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 246,"",899000
16,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-08,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 111,"",529000
17,Vietnam Airlines,Hà Nội (HAN),07:25:00,2021-01-04,Đà Nẵng (DAD),05:15:00,DAD-HAN,VN 201,"",2599000
18,Vietnam Airlines,Phú Quốc (PQC),10:25:00,2021-01-06,Hà Nội (HAN),08:15:00,HAN-PQC,VN 222,"",2039000
19,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-07,Hải Phòng (HPH),05:15:00,HPH-SGN,VJ 176,"",2790000
20,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-08,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 113,"",1689000
21,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-04,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 777,"",99000
22,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-05,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 178,"",299000
23,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-04,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 456,"",399000
24,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-06,Đà Nẵng (DAD),05:15:00,DAD-SGN,VJ 369,"",99000
25,VietJet Air,Tp.HCM (SGN),07:25:00,2021-01-07,Hải Phòng (HPH),05:15:00,HPH-SGN,VJ 357,"",2990000
26,VietJet Air,Tp.HCM (SGN),11:25:00,2021-01-06,Hải Phòng (HPH),09:15:00,HPH-SGN,VJ 246,"",5990000
